Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
long-short,172_134,Maize,2000_2010,-0.4096501,-0.0070444,0.1912705,0.0225538,-8.061893,-12.03963636,-268.024453,-6.090909,2.18,0.39
long-short,81_81,Maize,2000_2010,-0.1670789,-0.0089116,0.3205932,0.0429069,-4.53306,-14.04109091,-280.770581,-0.14545,1.45,0.5
long-short,50_52,Maize,2000_2010,-0.0555802,-0.0063486,0.2129151,4.71E-02,-3.414419,-8.74663636,-173.555884,-7.76364,0.98,0.4
long-short,72_95,Maize,2000_2010,0.0507748,-0.0078654,-0.0324305,0.0421636,-1.309638,-3.348,-136.460835,-12.57273,0.98,0.43
long-short,160_134,Maize,2000_2010,-0.4215551,-0.0071631,0.1761016,0.0246296,-6.932257,-15.86445455,-295.929537,-0.47273,2.18,0.39
long-short,68_150,Maize,2000_2010,0.0225761,-0.0096045,0.0227047,0.0346669,-0.811931,-1.21136364,-117.804385,-58.65455,1.45,0.5
long-short,60_106,Maize,2000_2010,-0.0523458,-0.0076368,0.190256,4.76E-02,-4.308048,-8.88481819,-183.003421,-2.21819,0.98,0.47
long-short,101_103,Maize,2000_2010,-0.1356335,-0.0093965,0.2137179,0.0393603,-3.612769,-12.56854546,-241.461457,-6.76364,1.45,0.5
long-short,82_157,Maize,2000_2010,-0.0570805,-0.010998,0.1028135,0.0378705,-5.055443,-2.079,-160.719694,-32.11818,1.45,0.58
long-short,144_134,Maize,2000_2010,-0.3556941,-0.0072283,0.1475883,0.0252671,-3.68604,-12.89136364,-263.410626,-32.10909,2.18,0.39
long-short,114_61,Maize,2000_2010,0.009752,-0.0069704,-0.0035636,0.0393154,-1.149349,-5.08236364,-171.03519,-3.836363,1,0.37
long-short,56_106,Maize,2000_2010,-0.0762124,-0.0064396,0.276631,4.70E-02,-5.303303,-13.285,-204.306411,-2.36363,1,0.4
long-short,156_134,Maize,2000_2010,-0.3711034,-0.0143889,0.2091626,0.028324,-5.46775,-1.04290909,-242.832947,-51.30909,2.18,0.77
long-short,113_103,Maize,2000_2010,-0.0219469,-0.0068095,0.0508155,0.0394544,-1.254001,-4.29536364,-121.782714,-1.57273,0.9,0.36
long-short,98_101,Maize,2000_2010,-0.08519,-0.0095097,0.1441454,0.0373068,-3.170783,-8.85145454,-219.984349,-10.18181,1.45,0.5
long-short,90_157,Maize,2000_2010,0.1077712,-0.0076721,-0.0963867,0.0361422,0.691908,-0.61027273,-42.529118,-0.24545,1,0.4
long-short,87_136,Maize,2000_2010,-0.1845009,-0.0141748,0.2890584,0.0426845,-8.224244,-10.17627273,-290.387705,-5.12727,1.65,0.78
long-short,49_131,Maize,2000_2010,0.0196456,-0.0065866,-0.023863,4.71E-02,-1.478261,-4.82736363,-115.635752,0.52727,0.79,0.41
long-short,149_103,Maize,2000_2010,-0.4556203,-0.0074576,0.2731894,0.0328792,-6.775954,-19.68272727,-366.739815,-4.8,2.18,0.39
long-short,78_118,Maize,2000_2010,0.0349861,-0.0078051,-0.0377606,0.0426415,-1.809238,-3.70145454,-129.24133,-6.85455,0.86,0.43
long-short,95_136,Maize,2000_2010,0.0210226,-0.006911,-0.0120251,0.0405076,-1.383859,-3.207,-107.550238,-1.89091,1,0.37
long-short,77_167,Maize,2000_2010,-0.1515511,-0.0142356,0.2504801,0.04289,-8.745403,-5.82272727,-267.712581,-11.11818,1.65,0.78
long-short,72_54,Maize,2000_2010,-0.1790686,-0.0116077,0.3163704,0.0418697,-4.873233,-13.04018182,-310.205232,-1.2,1.61,0.64
long-short,88_149,Maize,2000_2010,0.0791761,-0.0070263,-0.1180526,0.0419165,-0.09001,-0.45027273,-56.704747,-1.73637,0.83,0.38
long-short,46_157,Maize,2000_2010,-0.0573244,-0.0060543,0.2571354,4.87E-02,-5.086053,-6.49,-191.128178,1.336364,0.98,0.4
long-short,111_77,Maize,2000_2010,0.1050414,-0.0068929,-0.1935038,0.0373597,0.381303,-0.65409091,-88.871783,0.145455,0.74,0.36
long-short,88_150,Maize,2000_2010,0.0971782,-0.006897,-0.1422099,0.0413483,0.682324,-0.40490909,-39.687488,-1.24546,0.83,0.37
long-short,80_106,Maize,2000_2010,-0.3437269,-0.0106796,0.8018301,4.63E-02,-9.873612,-22.02409091,-455.622605,0.6,1.95,0.67
long-short,92_106,Maize,2000_2010,0.0249331,-0.0088366,-0.0006296,0.0394153,-1.329216,-3.87336363,-132.959286,-6.72727,1.07,0.47
long-short,54_157,Maize,2000_2010,-0.0827501,-0.0106983,0.2248865,0.0425096,-7.785135,-12.30909091,-240.721,11.55454,1.43,0.58
long-short,143_99,Maize,2000_2010,-0.4728226,-0.0078205,0.2654686,0.0306225,-3.239648,-15.91827272,-371.814214,-34.654545,2.18,0.41
long-short,135_152,Maize,2000_2010,0.0365783,-0.0105706,-0.015446,0.033166,-0.64923,-2.16354545,-63.488643,-1.02727,0.84,0.55
long-short,54_61,Maize,2000_2010,-0.0534214,-0.006156,0.2668119,4.73E-02,-5.193149,-7.71072727,-156.130659,-5.40909,0.83,0.4
long-short,78_101,Maize,2000_2010,-0.1182984,-0.0225947,0.1986504,0.0424607,-2.444632,-10.94563636,-302.304372,-73.2,1.61,1.26
long-short,77_83,Maize,2000_2010,-0.0217703,-0.0068262,0.0711615,0.0439059,-1.923789,-5.69709091,-139.481465,-1.427273,0.87,0.39
long-short,178_133,Maize,2000_2010,-0.3851444,-0.0066998,0.154105,0.0188332,-6.468201,-11.35154545,-225.137794,-3.3,2.18,0.39
long-short,70_157,Maize,2000_2010,-0.0463896,-0.006491,0.1572454,0.0462086,-3.353927,-6.44127272,-157.345016,-3.13637,1,0.38
long-short,68_63,Maize,2000_2010,0.0558402,-0.0073128,-0.1048631,0.0412711,-1.343684,-1.14163637,-114.059894,-9.79091,0.83,0.4
long-short,62_157,Maize,2000_2010,-0.0513965,-0.0063277,0.2179752,4.72E-02,-4.649016,-10.4200909,-151.610286,-3.72727,0.83,0.4
long-short,84_97,Maize,2000_2010,0.0135852,-0.0069086,-0.0048251,0.0403273,-1.435527,-2.78436363,-123.442962,-4.42727,1,0.37
long-short,55_44,Maize,2000_2010,-0.4186963,-0.0059471,0.841417,4.67E-02,-12.220339,-32.58372726,-609.3499,3.21818,2.18,0.39
long-short,98_118,Maize,2000_2010,-0.0483308,-0.0095903,0.0886377,0.0351465,-2.354839,-5.32954546,-142.457504,-46.47273,1.45,0.5
long-short,114_78,Maize,2000_2010,0.0593576,-0.0076385,-0.0981367,0.0373771,-0.504818,-2.25436364,-111.998953,-2.43636,0.83,0.4
long-short,85_73,Maize,2000_2010,-0.1353268,-0.0089168,2.77E-01,0.0427589,-4.731272,-11.62163636,-277.284686,-0.97273,1.45,0.5
long-short,69_87,Maize,2000_2010,-0.1697422,-0.0082219,0.4212443,4.54E-02,-7.370946,-9.37572728,-290.88991,-3.23637,1.45,0.5
long-short,106_133,Maize,2000_2010,0.0645219,-0.0070254,-0.0392418,0.0384792,-0.562744,-0.72745455,-54.318798,-12.45455,1,0.37
long-short,114_133,Maize,2000_2010,0.0827812,-0.0057539,-0.0636254,0.0367531,0.505739,-0.75454546,-34.133523,-5.14546,0.99,0.3
long-short,81_98,Maize,2000_2010,0.0799932,-0.0066964,-1.58E-01,0.043018,-0.451411,-1.67081818,-88.201407,-1.56363,0.74,0.37
long-short,151_104,Maize,2000_2010,-0.5571276,-0.0242922,0.2483421,0.0306714,-8.488641,-20.56527272,-437.51841,-2.009091,2.59,1.29
long-short,159_152,Maize,2000_2010,-0.4472341,-0.0071736,0.2178081,0.0243802,-6.607841,-14.75654546,-308.823795,-4.53636,2.18,0.39
long-short,105_83,Maize,2000_2010,0.0739421,-0.0069474,-0.1392749,0.0402696,-0.641372,-2.28054546,-133.481838,-4.85454,0.83,0.37
long-short,94_130,Maize,2000_2010,-0.0254969,-0.0093188,0.0841145,0.0406591,-3.722887,-1.87409091,-128.3275,-16.21818,1.26,0.5
long-short,86_130,Maize,2000_2010,-0.2707727,-0.0122093,0.3493889,0.0420691,-10.890498,-7.97090909,-343.91186,-15.63637,1.95,0.67
long-short,148_105,Maize,2000_2010,-0.4317312,-0.0172759,0.244933,0.0318351,-6.196021,-18.51709091,-355.20357,-9.29091,2.18,0.91
long-short,94_88,Maize,2000_2010,0.0696568,-0.00658,-0.1330924,0.0424577,-0.302736,-1.26690909,-95.306735,-1.98182,0.74,0.36
long-short,63_77,Maize,2000_2010,0.0198582,-0.0066137,-0.0240756,0.0466155,-2.065009,0.000181818,-81.306581,-3.78182,0.65,0.4
long-short,81_119,Maize,2000_2010,-0.0669401,-0.0058615,0.2245421,4.76E-02,-1.968604,-8.75472727,-174.656977,0.36364,1,0.37
