Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
long-short,172_134,WW,2000_2010,-0.5016161,-0.006996,0.171881,0.0220103,-11.270253,-15.832,-332.089576,-44.65,2.18,0.39
long-short,81_81,WW,2000_2010,-0.345907,-0.0089009,0.5556427,0.0427616,-7.043839,-16.31072727,-726.522993,-368.34,1.45,0.5
long-short,50_52,WW,2000_2010,-0.11554,-0.0063875,0.2245317,4.88E-02,-6.976274,-3.91963636,-444.81973,61.92,0.98,0.4
long-short,72_95,WW,2000_2010,-0.1537174,-0.0079155,0.3556982,0.0417048,-4.190853,-8.10545454,-249.113753,-86.25,0.98,0.43
long-short,160_134,WW,2000_2010,-0.454828,-0.0071203,0.1901668,0.024031,-7.764127,-12.30554545,-319.8199,-4.42,2.18,0.39
long-short,68_150,WW,2000_2010,-0.246491,-0.0096213,0.3410306,0.0345479,-5.109209,-4.91,-337.310713,-174.6,1.45,0.5
long-short,60_106,WW,2000_2010,0.0137495,-0.0079499,0.0547297,0.0465298,-14.13239,-5.40690909,-93.248987,12.33,0.98,0.47
long-short,101_103,WW,2000_2010,-0.1886132,-0.0094207,0.2757642,0.0388349,-4.213215,-5.30818182,-266.084275,46.75,1.45,0.5
long-short,82_157,WW,2000_2010,-0.2388047,-0.0110184,0.3206847,0.0372001,-7.966039,-3.43963637,-286.522867,-26.96,1.45,0.58
long-short,144_134,WW,2000_2010,-0.3167989,-0.0072034,0.1787064,0.0249844,-3.204999,-5.46109091,-274.262597,-58,2.18,0.39
long-short,114_61,WW,2000_2010,-0.1772147,-0.006974,0.3161635,0.039138,-2.787665,-9.13054545,-354.367906,-132.64,1,0.37
long-short,56_106,WW,2000_2010,-0.0341114,-0.0066476,0.149445,4.78E-02,-5.382291,-9.40863637,-141.354289,4.63,1,0.4
long-short,156_134,WW,2000_2010,-0.4783724,-0.0143527,0.300298,0.0279121,-4.390581,-0.33072728,-396.364639,-425.5,2.18,0.77
long-short,113_103,WW,2000_2010,-0.075632,-0.0068253,0.1504243,0.0390034,-1.325581,-4.37918182,-162.107221,14.43,0.9,0.36
long-short,98_101,WW,2000_2010,-0.1811109,-0.0095208,0.2640809,0.0368714,-3.55514,-7.15018182,-243.81793,8.81,1.45,0.5
long-short,90_157,WW,2000_2010,-0.1075275,-0.007682,0.1686674,0.0356975,-2.797699,-3.01,-166.396706,-50.39,1,0.4
long-short,87_136,WW,2000_2010,-0.353126,-0.0142336,0.5630704,0.0426149,-14.10642,-7.24909091,-426.039252,-12.73,1.65,0.78
long-short,49_131,WW,2000_2010,0.0510995,-0.0067008,-0.062352,4.71E-02,-1.305781,-2.82927273,-89.079829,22.61,0.79,0.41
long-short,149_103,WW,2000_2010,-0.4716067,-0.0074497,0.3067032,0.0322448,-6.985929,-17.04436364,-388.878587,-3.97,2.18,0.39
long-short,78_118,WW,2000_2010,-0.060405,-0.0077295,0.1857173,0.0440427,-3.930377,-3.52218181,-221.726589,40.62,0.86,0.43
long-short,95_136,WW,2000_2010,-0.1053852,-0.0069204,0.2403472,0.0401693,-3.197505,-5.05454546,-173.607297,6.66,1,0.37
long-short,77_167,WW,2000_2010,-0.2046565,-0.0142712,0.3321954,0.0431867,-11.623633,-1.34054546,-325.800338,20.86,1.65,0.78
long-short,72_54,WW,2000_2010,-0.3862233,-0.0114651,0.5801662,0.0425295,-7.240351,-16.04,-706.828537,-251.89,1.61,0.64
long-short,88_149,WW,2000_2010,-0.0304434,-0.0070455,0.0953963,0.0416061,-2.108342,-1.66572727,-111.755364,12.71,0.83,0.38
long-short,46_157,WW,2000_2010,0.0298351,-0.0070507,0.0353852,0.0461053,-5.194225,-1.90509091,-114.21295,50.22,0.98,0.4
long-short,111_77,WW,2000_2010,-0.1010213,-0.0068883,0.2662798,0.0370461,-1.742769,-5.07127273,-169.914643,-70.02,0.74,0.36
long-short,88_150,WW,2000_2010,-0.0319643,-0.0069071,0.0967823,0.0408775,-2.344658,-1.57636364,-108.62599,6.89,0.83,0.37
long-short,80_106,WW,2000_2010,-0.3853222,-0.0106405,0.6013625,4.68E-02,-10.261847,-18.93936364,-966.440493,218.2,1.95,0.67
long-short,92_106,WW,2000_2010,-0.1340922,-0.008856,0.2754262,0.0390826,-3.53995,-5.63645454,-228.278149,9.66,1.07,0.47
long-short,54_157,WW,2000_2010,-0.0055756,-0.0111174,0.0739245,0.0344594,-2.42282,-1.958,-182.549916,79.44,1.43,0.58
long-short,143_99,WW,2000_2010,-0.5391763,-0.0078025,0.1527316,0.0301511,-3.772015,-18.15527268,-599.572672,-295.4,2.18,0.41
long-short,135_152,WW,2000_2010,0.0437374,-0.0105629,-0.0693033,0.0323158,-0.456941,-1.61045455,-39.042055,1.62,0.84,0.55
long-short,54_61,WW,2000_2010,-0.0059593,-0.0061397,0.0925846,4.76E-02,-6.115188,-0.62572727,-122.565861,32.27,0.83,0.4
long-short,78_101,WW,2000_2010,-0.3109038,-0.0227245,0.3327744,0.0423778,-3.002282,-18.14618181,-656.222181,-30.95,1.61,1.26
long-short,77_83,WW,2000_2010,-0.0885395,-0.0067798,0.203754,0.0435704,-3.710388,-4.72309091,-309.920175,115.73,0.87,0.39
long-short,178_133,WW,2000_2010,-0.527426,-0.0066457,0.1584285,0.0184056,-9.314705,-16.20927271,-300.076797,-21.13,2.18,0.39
long-short,70_157,WW,2000_2010,-0.0595024,-0.0065584,0.2004145,0.0468206,-4.5761,-2.41472727,-163.752869,55.21,1,0.38
long-short,68_63,WW,2000_2010,-0.0239523,-0.0072164,0.1139528,0.0421476,-3.71585,-1.02036363,-115.955978,-11.5,0.83,0.4
long-short,62_157,WW,2000_2010,-0.0206223,-0.0062752,0.1356905,4.89E-02,-7.59279,-1.56154545,-127.108855,36.48,0.83,0.4
long-short,84_97,WW,2000_2010,-0.0872692,-0.0068946,0.1270433,0.0401187,-2.035813,-4.07218182,-224.441495,11.05,1,0.37
long-short,55_44,WW,2000_2010,-0.4872405,-0.0061178,0.7244049,4.68E-02,-17.087644,-24.97672728,-796.914001,252.94,2.18,0.39
long-short,98_118,WW,2000_2010,-0.1810972,-0.0096058,0.2577219,0.0348961,-5.076918,-3.03218182,-198.016373,-2.32,1.45,0.5
long-short,114_78,WW,2000_2010,-0.0453399,-0.0076406,0.0613214,0.037043,-1.311708,-4.15272728,-148.466697,-5.78,0.83,0.4
long-short,85_73,WW,2000_2010,-0.2710579,-0.0088892,0.4270732,0.0430187,-7.280945,-10.77572727,-578.511086,-61.61,1.45,0.5
long-short,69_87,WW,2000_2010,-0.1848162,-0.0082797,0.3605786,4.64E-02,-9.887511,-4.68518182,-359.204827,70.17,1.45,0.5
long-short,106_133,WW,2000_2010,-0.1252139,-0.0070235,0.267403,0.0383798,-4.521315,-1.40754545,-162.414613,2.24,1,0.37
long-short,114_133,WW,2000_2010,-0.1603493,-0.005755,0.3334272,0.0365528,-4.091002,-3.869,-171.253436,-11.79,0.99,0.3
long-short,81_98,WW,2000_2010,-0.0107438,-0.006709,0.0153524,0.042611,-0.582287,-3.17890909,-132.889473,-30.33,0.74,0.37
long-short,151_104,WW,2000_2010,-0.565943,-0.0242125,0.2526568,0.0300532,-8.249515,-14.47272727,-460.023055,-6.46,2.59,1.29
long-short,159_152,WW,2000_2010,-0.5312023,-0.0071407,0.2329249,0.0238441,-8.480166,-14.72054546,-396.844149,-83.5,2.18,0.39
long-short,105_83,WW,2000_2010,-0.1101097,-0.006939,0.2414499,0.0401385,-2.1693,-6.56936364,-269.64792,-184.51,0.83,0.37
long-short,94_130,WW,2000_2010,-0.1574715,-0.0093177,0.3074796,0.0403158,-7.202605,-1.48081818,-208.516628,12.94,1.26,0.5
long-short,86_130,WW,2000_2010,-0.3898979,-0.0123136,0.5162842,0.0419323,-18.352115,-4.83636363,-461.292244,27.05,1.95,0.67
long-short,148_105,WW,2000_2010,-0.4471705,-0.0172473,0.2704657,0.0310489,-6.186356,-12.79609091,-384.287433,-15.83,2.18,0.91
long-short,94_88,WW,2000_2010,-0.0389686,-0.0065583,0.128617,0.0425697,-2.15875,-2.214,-141.550392,0.05,0.74,0.36
long-short,63_77,WW,2000_2010,0.0521742,-0.0066386,-0.0780697,4.83E-02,-3.366252,-0.043636363,-27.550201,4.84,0.65,0.4
long-short,81_119,WW,2000_2010,-0.168971,-0.0058795,0.5546525,4.75E-02,-3.672293,-12.61527273,-410.256091,9.16,1,0.37
long-short,64_161,WW,2000_2010,0.023674,-0.0051732,-0.0254193,0.0469587,-1.152093,-2.05972727,-55.835872,15.71,0.5,0.3
long-short,55_148,WW,2000_2010,-0.0943989,-0.0072968,0.2830902,0.0463255,-6.021621,-1.74618182,-274.289504,67.57,0.96,0.43
long-short,62_52,WW,2000_2010,-0.3657008,-0.012586,0.7059789,4.47E-02,-12.48279,-11.99036364,-856.378576,-109.94,1.58,0.76
long-short,76_161,WW,2000_2010,-0.2499933,-0.012064,0.4706389,0.046373,-14.173237,-5.00481818,-373.907678,72.65,1.68,0.68
long-short,93_119,WW,2000_2010,-0.2661829,-0.0076484,0.2942952,0.0361837,-4.820397,-7.70181818,-324.536108,-124.76,1.45,0.4
long-short,124_105,WW,2000_2010,-0.4920364,-0.0074662,0.3884822,0.0347983,-6.144298,-13.68518181,-674.700692,-0.54,2.18,0.39
long-short,69_156,WW,2000_2010,-0.0474836,-0.0073455,1.41E-01,0.0431567,-3.216332,-2.63172728,-161.210141,22.12,1,0.4
long-short,73_100,WW,2000_2010,-0.0727557,-0.0066214,0.2092351,0.0417945,-2.045456,-6.25236364,-153.640028,30.9,0.74,0.36
long-short,91_87,WW,2000_2010,-0.0395123,-0.0065737,0.1278328,0.0416755,-2.561027,-2.62627272,-147.481529,3.7,0.74,0.36
long-short,173_132,WW,2000_2010,0.021906,-0.0037556,-0.0451286,0.0217126,0.147623,-0.49018181,-1.593666,1.64,0.4,0.21
long-short,136_105,WW,2000_2010,-0.0043695,-0.0059163,-0.0102304,0.0334344,-0.389569,-1.96481818,-85.989651,-7.16,0.7,0.31
long-short,104_67,WW,2000_2010,-0.3246014,-0.0093464,0.4742346,0.0396412,-4.954839,-11.242,-651.564014,-408.53,1.45,0.5
long-short,91_151,WW,2000_2010,-0.1495308,-0.0093526,0.2340958,0.0400045,-3.07976,-6.10472727,-318.208525,14.29,1.16,0.5
long-short,112_105,WW,2000_2010,0.0013466,-0.007211,0.0214367,0.0386777,-0.567978,-2.686,-68.062886,6.7,0.86,0.38
long-short,99_107,WW,2000_2010,-0.038259,-0.0069804,0.1070628,0.0391989,-1.747326,-1.90236364,-107.613357,22.16,1,0.37
long-short,66_78,WW,2000_2010,-0.179882,-0.0081444,0.3400772,0.0474233,-9.61995,-5.99127272,-398.696001,-28.37,1.37,0.48
long-short,83_151,WW,2000_2010,-0.2049402,-0.007208,0.3829911,0.0430446,-7.430231,-4.32481818,-287.290952,60.27,1.45,0.4
long-short,79_98,WW,2000_2010,-0.0962491,-0.0064908,0.2618547,0.0452069,-2.60772,-7.09781819,-286.306535,21.27,1,0.37
long-short,100_105,WW,2000_2010,-0.1241231,-0.0069603,0.2469201,0.0394613,-3.430595,-2.7060909,-193.790302,31.48,1.2,0.37
long-short,145_132,WW,2000_2010,-0.3529499,-0.0071777,0.1829705,0.0244719,-3.660514,-7.07063637,-287.838805,-33.12,2.18,0.39
long-short,45_119,WW,2000_2010,-0.18562,-0.0109001,0.3842626,0.0452457,-8.594971,-3.66554546,-441.189985,246.81,1.5,0.65
long-short,79_81,WW,2000_2010,-0.1134325,-0.0064019,0.3260558,0.0434003,-2.49522,-6.7999091,-318.330978,-78.83,0.83,0.36
long-short,83_148,WW,2000_2010,0.0402394,-0.0030399,-0.1582547,0.0449634,0.143649,-0.88281819,-26.107985,-2.76,0.41,0.17
long-short,95_75,WW,2000_2010,0.0085577,-0.0078674,0.0030856,0.0421325,-1.422411,-2.40936363,-123.952904,34.12,0.65,0.43
long-short,66_61,WW,2000_2010,-0.0428154,-0.00753,0.1714381,0.0428623,-4.936714,-0.80327273,-132.320123,-11.83,0.87,0.43
long-short,91_148,WW,2000_2010,-0.0873253,-0.0053386,0.2325495,0.0426081,-3.604451,-2.85272728,-145.36533,17.04,0.99,0.29
long-short,115_135,WW,2000_2010,-0.1912547,-0.0070966,0.3545005,0.036087,-4.030339,-5.42463637,-198.471427,-23.81,1.07,0.37
long-short,50_130,WW,2000_2010,-0.072313,-0.0060734,0.1874528,4.81E-02,-4.030386,-5.75218182,-339.325338,139.72,1,0.37
long-short,150_102,WW,2000_2010,-0.4711129,-0.0074012,0.170862,0.0303394,-3.846632,-14.15709091,-465.131777,-65.11,2.18,0.39
long-short,61_119,WW,2000_2010,-0.07607,-0.0063058,0.3137697,4.78E-02,-3.517139,-7.32436363,-281.360332,27,0.7,0.4
long-short,142_102,WW,2000_2010,-0.4260811,-0.0074538,0.2957403,0.0323384,-6.015503,-8.69472728,-462.986119,-45.37,1.97,0.39
long-short,100_95,WW,2000_2010,-0.0926223,-0.0067597,0.2080308,0.0399203,-1.803368,-5.25654546,-196.687672,-33.55,0.86,0.36
long-short,107_135,WW,2000_2010,-0.0660692,-0.0056686,0.2177167,0.038386,-1.773278,-4.28227273,-121.561811,-11.41,0.63,0.3
long-short,123_77,WW,2000_2010,-0.1356235,-0.0068978,0.2603005,0.0363602,-2.07318,-5.80745454,-212.052069,-39.57,0.99,0.36
long-short,84_161,WW,2000_2010,0.0329693,-0.0066622,-0.0357893,0.0410879,-0.3259,-0.96718182,-28.409991,2,0.74,0.36
long-short,93_100,WW,2000_2010,-0.1937846,-0.010922,0.3733185,0.0397218,-4.250603,-6.03263637,-289.509651,-72.57,1.16,0.58
long-short,55_151,WW,2000_2010,-0.0843654,-0.0076613,0.2735163,4.91E-02,-10.467936,-5.89136363,-222.035324,46.17,1.04,0.5
long-short,47_151,WW,2000_2010,-0.0506478,-0.0064084,0.2243075,4.54E-02,-3.767472,-4.54463636,-240.070035,136.97,0.83,0.4
long-short,81_100,WW,2000_2010,-0.1143919,-0.0057738,0.3389371,4.77E-02,-4.748283,-7.70345454,-315.858926,206,1,0.37
long-short,89_156,WW,2000_2010,0.034458,-0.0071065,-0.0016524,0.0355624,-0.358832,-0.51618182,-21.812152,-1.6,1,0.37
long-short,94_91,WW,2000_2010,-0.1486764,-0.0108118,0.3029286,0.0404664,-6.853484,-1.44418182,-242.97582,-4.32,1.16,0.58
long-short,86_129,WW,2000_2010,-0.1058101,-0.0073959,0.254782,0.0415872,-4.520074,-1.84336364,-191.117031,29.67,1.05,0.4
long-short,139_98,WW,2000_2010,-0.2166097,-0.0074651,0.2635796,0.0318,-1.839531,-9.78345455,-231.793667,-56.99,1.04,0.39
long-short,94_129,WW,2000_2010,-0.0973828,-0.0093779,0.2074928,0.0394455,-5.240343,-1.12318182,-149.985176,-0.54,1.14,0.5
long-short,126_78,WW,2000_2010,-0.1125841,-0.0076814,0.1936612,0.0352549,-2.038407,-4.42936363,-196.906702,-11.6,1.07,0.4
long-short,71_151,WW,2000_2010,-0.061137,-0.0070036,0.1305595,0.0392715,-2.752805,-4.09727273,-151.882215,-13.4,1,0.37
long-short,44_67,WW,2000_2010,0.1055901,-0.0043083,-0.3369353,4.73E-02,9.402842,0,51.836944,-8.33,0.46,0.3
long-short,79_107,WW,2000_2010,-0.1511884,-0.0060709,0.3871371,4.74E-02,-2.947378,-10.94881818,-321.493465,-15.36,1,0.37
long-short,67_85,WW,2000_2010,-0.0246159,-0.0068437,0.1136566,0.0458519,-4.728647,-1.00645454,-166.737568,57.67,0.87,0.4
long-short,68_109,WW,2000_2010,-0.2926079,-0.0231208,0.4660548,4.63E-02,-9.585065,-16.409,-817.931845,146.77,1.61,1.44
long-short,143_144,WW,2000_2010,-0.0416106,-0.0090067,0.0813257,0.0294614,-1.048711,-2.14336364,-83.275334,-4.01,1.07,0.47
long-short,109_96,WW,2000_2010,-0.4020587,-0.0129068,0.5194183,0.0398205,-5.803635,-14.2449091,-697.757597,-541.75,1.65,0.69
long-short,85_127,WW,2000_2010,-0.0336655,-0.0051853,0.1120182,0.0420499,-1.543509,-2.87254546,-150.372683,28.46,0.83,0.28
long-short,116_76,WW,2000_2010,-0.1140093,-0.0068399,0.211338,0.0382551,-1.872469,-5.41063636,-216.922381,-8.47,0.99,0.36
long-short,37_168,WW,2000_2010,0.1207553,-0.0086055,-1.74E-01,0.0419365,-0.744409,-1.00027273,-55.414988,-28.61,0.75,0.47
long-short,97_127,WW,2000_2010,-0.2374126,-0.0095438,0.3363506,0.0367271,-6.059223,-5.44509091,-282.812697,-0.78,1.45,0.5
long-short,159_112,WW,2000_2010,-0.4587349,-0.0077327,0.2485758,0.027638,-5.352469,-10.57718182,-358.887039,-51.74,2.18,0.41
long-short,151_144,WW,2000_2010,-0.5060602,-0.0073244,0.2525345,0.0274861,-8.750686,-15.37636363,-418.721407,-35.24,2.18,0.39
long-short,59_120,WW,2000_2010,-0.1242995,-0.0093687,0.322464,4.69E-02,-6.455428,-6.57509091,-354.811095,180.04,1.2,0.58
long-short,138_125,WW,2000_2010,-0.1377589,-0.0095806,0.1697155,0.0326338,-3.210446,-2.04945455,-153.257834,-4.71,1.45,0.5
long-short,83_96,WW,2000_2010,-0.0939527,-0.0068657,0.1367036,0.0407955,-1.563459,-5.83190909,-220.78662,-44.09,1,0.37
long-short,52_45,WW,2000_2010,-0.0280178,-0.0056655,0.1519321,4.72E-02,-3.073698,-3.91081818,-171.817243,40.41,0.7,0.39
long-short,144_98,WW,2000_2010,-0.4457095,-0.0071956,0.0949743,0.0251817,-3.115495,-12.3320909,-425.546035,-196.75,2.18,0.39
long-short,167_144,WW,2000_2010,-0.5287279,-0.0070044,0.1899185,0.0217585,-8.571295,-14.97309091,-360.446342,-91.82,2.18,0.39
long-short,53_60,WW,2000_2010,-0.0893608,-0.0061706,0.2339552,4.72E-02,-8.383972,-0.80218182,-217.531753,27.03,0.98,0.4
long-short,70_82,WW,2000_2010,-0.0408152,-0.0066985,0.1553324,0.0444617,-4.732313,-1.12481818,-131.943074,19.98,0.87,0.39
long-short,135_112,WW,2000_2010,-0.2254912,-0.0095737,0.2150685,0.0290787,-2.177194,-7.00863636,-205.293968,-64.59,1.45,0.5
long-short,70_117,WW,2000_2010,-0.0463989,-0.0063894,0.1223242,0.0472039,-2.000912,-6.68145454,-177.762426,28.8,1,0.37
long-short,49_168,WW,2000_2010,0.0595643,-0.0085441,-0.0722527,0.0426271,-1.647652,-2.51545454,-129.924643,4.19,0.75,0.47
long-short,62_117,WW,2000_2010,-0.0702378,-0.0061883,0.2983091,4.82E-02,-2.829489,-7.96418182,-255.139105,43.71,0.7,0.4
long-short,71_66,WW,2000_2010,-0.2194715,-0.0063543,0.5352732,0.0444297,-3.535058,-12.42936363,-548.548701,-343.12,1,0.37
long-short,52_84,WW,2000_2010,0.0458635,-0.0070101,-0.0175274,0.0412251,-2.680601,-0.04454546,-84.078667,21.41,0.87,0.39
long-short,162_125,WW,2000_2010,-1.3151326,-0.0140937,0.2016539,0.0202693,-17.667164,-17.09836364,-411.154848,-29.36,5.27,0.81
long-short,113_79,WW,2000_2010,-0.0772405,-0.0071933,0.145357,0.0388025,-1.837196,-4.08036364,-167.048183,15.76,1,0.38
long-short,146_125,WW,2000_2010,-1.1900127,-0.0153217,0.2964007,0.0292225,-15.639935,-4.08481819,-502.236615,-0.39,5.27,0.81
long-short,108_72,WW,2000_2010,-0.220266,-0.0093121,0.3068035,0.0401744,-3.579906,-7.81409091,-499.779873,82.14,1.45,0.5
long-short,80_146,WW,2000_2010,-0.0898658,-0.0051754,0.2214158,0.045114,-3.525737,-3.70581818,-208.566046,5.49,0.99,0.29
long-short,86_99,WW,2000_2010,-0.0289801,-0.0080647,0.0723327,0.0395641,-1.019067,-4.64463637,-131.852425,-47.1,0.74,0.43
long-short,103_112,WW,2000_2010,-0.1764622,-0.009476,0.2820976,0.0384055,-6.38293,-0.59063637,-214.571293,19.29,1.45,0.5
long-short,88_110,WW,2000_2010,-0.0533053,-0.0068298,0.0995924,0.0383601,-1.046046,-4.124,-177.068817,-83.05,0.74,0.36
long-short,119_144,WW,2000_2010,0.033027,-0.0068919,-0.0336452,0.0344176,-0.041885,-1.27363637,-18.347508,-1.75,0.74,0.36
long-short,92_146,WW,2000_2010,-0.10345,-0.0102552,0.2388813,0.0414951,-4.937231,-2.24690909,-167.983367,11.93,1.19,0.55
long-short,111_112,WW,2000_2010,-0.2070053,-0.0073827,0.4288163,0.0381522,-4.101363,-9.77572727,-282.459476,-35.06,1.07,0.39
