Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
long,172_134,Maize,2000_2010,1.4541114,0.3760372,-0.2760323,-0.0188539,46.595317,66.73509091,3771.923152,9261.072727,2.18,0.39
long,81_81,Maize,2000_2010,1.0428539,0.4749782,-0.0874263,-0.0120367,38.31016,78.29127273,7858.286613,11972.2,1.45,0.5
long,50_52,Maize,2000_2010,0.7964491,0.3789323,-0.3487079,-8.70E-03,64.216443,89.435,9162.296024,10420.39091,0.98,0.4
long,72_95,Maize,2000_2010,1.1648823,0.4088576,-0.0995086,-0.0133438,33.926366,43.75945455,8059.035703,13747.72727,0.98,0.43
long,160_134,Maize,2000_2010,1.4190464,0.375511,-0.4563744,-0.0189912,41.988805,66.85063636,3969.977444,10305.82727,2.18,0.39
long,68_150,Maize,2000_2010,1.5833069,0.4777154,-0.1230967,-0.0164857,33.933937,36.11854545,8748.599919,15499.53636,1.45,0.5
long,60_106,Maize,2000_2010,0.8210517,0.4454918,-0.3512089,-9.73E-03,70.230383,65.25254545,8942.279057,10644.14545,0.98,0.47
long,101_103,Maize,2000_2010,1.1807609,0.4763517,-0.0999704,-0.0149341,37.534771,56.97854545,7230.905701,11815.64545,1.45,0.5
long,82_157,Maize,2000_2010,1.3838937,0.5533946,-0.2109021,-0.0162315,44.112298,26.92672727,8268.905194,13560.06364,1.45,0.58
long,144_134,Maize,2000_2010,1.5648905,0.3753552,-0.4178558,-0.0189616,28.083017,69.89509091,4275.844721,11796.21818,2.18,0.39
long,114_61,Maize,2000_2010,1.1129037,0.3523333,0.0545461,-0.0144388,36.203239,73.06081818,7524.688849,9955.736364,1,0.37
long,56_106,Maize,2000_2010,0.7513861,0.3790144,-0.4158742,-9.05E-03,60.154029,64.58918182,8808.836016,10561.87273,1,0.4
long,156_134,Maize,2000_2010,1.473555,0.7396534,-0.43608,-0.0190258,41.575168,17.27672727,4008.090581,10363.52727,2.18,0.77
long,113_103,Maize,2000_2010,0.9283579,0.3430513,-0.0818686,-0.0155136,33.573656,70.11654545,7487.182664,11159.19091,0.9,0.36
long,98_101,Maize,2000_2010,1.3343459,0.4769459,-0.0588727,-0.01572,35.984376,48.74509091,7787.51517,12387.75455,1.45,0.5
long,90_157,Maize,2000_2010,1.3220186,0.3817339,-0.2228855,-0.0158583,40.864415,35.97309091,7770.799004,12396.88182,1,0.4
long,87_136,Maize,2000_2010,1.1975068,0.7418073,-0.2910848,-0.0133906,51.094154,23.55618182,7971.699063,13123.35455,1.65,0.78
long,49_131,Maize,2000_2010,0.8924439,0.3884971,-0.0398847,-9.13E-03,45.476783,91.74918182,9290.064065,11449.31818,0.79,0.41
long,149_103,Maize,2000_2010,1.261563,0.3731945,-0.4803823,-0.0173854,33.011815,67.69736364,4297.379128,10869.72727,2.18,0.39
long,78_118,Maize,2000_2010,0.9995954,0.4086537,-0.0667251,-0.0127528,44.943427,43.63927273,8086.375532,11565.43636,0.86,0.43
long,95_136,Maize,2000_2010,1.1066096,0.3522191,-0.2099604,-0.0145051,40.846707,50.25545455,7535.062006,12721.11818,1,0.37
long,77_167,Maize,2000_2010,1.2690236,0.7419025,-0.4353325,-0.0136376,71.707368,10.00545455,8418.4841,11272.51818,1.65,0.78
long,72_54,Maize,2000_2010,1.1882884,0.6082899,-0.023921,-0.0122413,34.448837,57.62490909,8877.646798,13103.61818,1.61,0.64
long,88_149,Maize,2000_2010,1.0849346,0.361514,-0.2493984,-0.0141363,47.296123,29.58690909,7973.815976,13086.62727,0.83,0.38
long,46_157,Maize,2000_2010,0.7797988,0.3786965,-0.3607702,-7.81E-03,79.006503,41.55381818,7843.441757,9513.2,0.98,0.4
long,111_77,Maize,2000_2010,1.0640369,0.3432723,0.1215506,-0.0153932,36.581962,60.58090909,6752.207243,9842.645455,0.74,0.36
long,88_150,Maize,2000_2010,1.1296062,0.352208,-0.2139752,-0.0148093,47.510624,24.32409091,8085.823945,13099.84545,0.83,0.37
long,80_106,Maize,2000_2010,0.7971407,0.6349431,-0.3191913,-8.68E-03,51.583904,70.58681818,7274.65648,9875.4,1.95,0.67
long,92_106,Maize,2000_2010,1.2017802,0.4477129,-0.1498914,-0.0148486,35.983837,46.18045455,7715.630889,13056.3,1.07,0.47
long,54_157,Maize,2000_2010,1.1908051,0.5515814,-0.2902268,-0.0135813,68.103707,42.08954545,8434.068287,11038.91818,1.43,0.58
long,143_99,Maize,2000_2010,1.2380516,0.3929598,-0.523625,-0.017861,18.025155,88.74481818,4576.722626,9783.918182,2.18,0.41
long,135_152,Maize,2000_2010,0.98394,0.5261871,-0.222989,-0.0173113,32.83033,46.46,4304.894464,11687.8,0.84,0.55
long,54_61,Maize,2000_2010,0.6535232,0.3787771,-0.1011544,-7.99E-03,77.801699,35.759,7607.560578,10524.96364,0.83,0.4
long,78_101,Maize,2000_2010,1.3315538,1.1975822,-0.2008231,-0.0120925,21.357801,83.95036364,8231.989682,11499.89091,1.61,1.26
long,77_83,Maize,2000_2010,0.8733289,0.3701282,0.2102368,-0.0110373,48.00026,82.42490909,8069.436972,9942.281818,0.87,0.39
long,178_133,Maize,2000_2010,1.5326575,0.3772406,-0.2437356,-0.0189079,49.777652,83.56618182,3532.238983,7247.618182,2.18,0.39
long,70_157,Maize,2000_2010,0.8987881,0.360492,-0.2265759,-0.0110497,57.243676,44.96236364,8083.577959,10887.24545,1,0.38
long,68_63,Maize,2000_2010,1.0511463,0.3801977,0.1643565,-0.0125313,42.858896,14.63472727,8631.716687,14462.50909,0.83,0.4
