Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
long,172_134,WW,2000_2010,1.2492365,0.3762107,-0.5026356,-0.0189066,47.660117,70.399,2348.417227,6257.24,2.18,0.39
long,81_81,WW,2000_2010,0.5716517,0.4749444,-0.4888432,-0.0118779,34.346014,69.81018182,3036.548322,7564.02,1.45,0.5
long,50_52,WW,2000_2010,0.7401035,0.3788983,-0.2378193,-8.66E-03,48.692329,32.34390909,4836.784325,10370.2,0.98,0.4
long,72_95,WW,2000_2010,0.6319938,0.4089625,-0.1871596,-0.0135447,37.937964,53.96145455,3052.460666,8417.38,0.98,0.43
long,160_134,WW,2000_2010,1.3365437,0.375685,-0.4643778,-0.0190479,35.502615,41.81018182,3578.608473,9743.27,2.18,0.39
long,68_150,WW,2000_2010,0.9374885,0.4775705,-0.0270831,-0.0160223,31.68185,42.01136364,3984.079625,11078.58,1.45,0.5
long,60_106,WW,2000_2010,0.9972569,0.4458192,-0.2398302,-0.010745,114.242235,45.26845455,8217.104715,5352.41,0.98,0.47
long,101_103,WW,2000_2010,1.022498,0.4764721,-0.2385812,-0.0150594,34.734972,43.08072727,5624.250705,10096.52,1.45,0.5
long,82_157,WW,2000_2010,0.9117088,0.5533312,-0.3600935,-0.0157421,40.256773,38.16872727,4221.035253,9868.98,1.45,0.58
long,144_134,WW,2000_2010,1.647524,0.3754813,-0.1993121,-0.0191234,31.751414,44.71318182,5481.694059,13051.88,2.18,0.39
long,114_61,WW,2000_2010,0.6099831,0.3523513,-0.4263489,-0.0144432,29.467719,59.65836364,3117.661147,8970.99,1,0.37
long,56_106,WW,2000_2010,0.9182956,0.379144,-0.2471058,-9.71E-03,120.007184,69.59663636,8376.204637,5318.88,1,0.4
long,156_134,WW,2000_2010,1.238791,0.7398417,-0.4012461,-0.0190435,64.478083,21.69254545,2948.719992,7615.23,2.18,0.77
long,113_103,WW,2000_2010,0.7559388,0.3431382,-0.1320432,-0.0156683,27.721003,49.00827273,5494.171159,10222.39,0.9,0.36
long,98_101,WW,2000_2010,1.0612374,0.4770748,-0.1200787,-0.0158757,35.845526,47.403,5456.989595,9884.97,1.45,0.5
long,90_157,WW,2000_2010,0.7727505,0.3818378,-0.3294127,-0.015988,33.613157,46.63345455,3539.70757,8940.68,1,0.4
long,87_136,WW,2000_2010,0.8001922,0.741792,-0.2763123,-0.0132667,50.480225,31.94881818,3763.348443,8501.25,1.65,0.78
long,49_131,WW,2000_2010,0.938267,0.3886193,-0.0377401,-9.70E-03,44.043023,49.64,7712.172875,7694.24,0.79,0.41
long,149_103,WW,2000_2010,1.2163907,0.3733712,-0.4556994,-0.0175988,33.68616,45.214,4793.097422,10519.1,2.18,0.39
long,78_118,WW,2000_2010,0.7275975,0.4084499,-0.195692,-0.0123735,45.403722,48.03045455,4393.616533,8937.05,0.86,0.43
