Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
short,172_134,WW,2000_2010,1.7508526,0.3832067,-0.6745166,-0.0409169,58.93037,86.231,2680.506803,6301.89,2.18,0.39
short,81_81,WW,2000_2010,0.9175587,0.4838453,-1.0444859,-0.0546395,41.389853,86.12090909,3763.071315,7932.36,1.45,0.5
short,50_52,WW,2000_2010,0.8556435,0.3852858,-0.462351,-0.0574911,55.668603,36.26354545,5281.604055,10308.28,0.98,0.4
short,72_95,WW,2000_2010,0.7857112,0.416878,-0.5428578,-0.0552495,42.128817,62.06690909,3301.574419,8503.63,0.98,0.43
short,160_134,WW,2000_2010,1.7913717,0.3828053,-0.6545446,-0.0430789,43.266742,54.11572727,3898.428373,9747.69,2.18,0.39
short,68_150,WW,2000_2010,1.1839795,0.4871918,-0.3681137,-0.0505702,36.791059,46.92136364,4321.390338,11253.18,1.45,0.5
short,60_106,WW,2000_2010,0.9835074,0.4537691,-0.2945599,-0.0572748,128.374625,50.67536364,8310.353702,5340.08,0.98,0.47
short,101_103,WW,2000_2010,1.2111112,0.4858928,-0.5143454,-0.0538943,38.948187,48.38890909,5890.33498,10049.77,1.45,0.5
short,82_157,WW,2000_2010,1.1505135,0.5643496,-0.6807782,-0.0529422,48.222812,41.60836364,4507.55812,9895.94,1.45,0.58
short,144_134,WW,2000_2010,1.9643229,0.3826847,-0.3780185,-0.0441078,34.956413,50.17427273,5755.956656,13109.88,2.18,0.39
short,114_61,WW,2000_2010,0.7871978,0.3593253,-0.7425124,-0.0535812,32.255384,68.78890909,3472.029053,9103.63,1,0.37
short,56_106,WW,2000_2010,0.952407,0.3857916,-0.3965508,-0.0575078,125.389475,79.00527273,8517.558926,5314.25,1,0.4
short,156_134,WW,2000_2010,1.7171634,0.7541944,-0.7015441,-0.0469556,68.868664,22.02327273,3345.084631,8040.73,2.18,0.77
short,113_103,WW,2000_2010,0.8315708,0.3499635,-0.2824675,-0.0546717,29.046584,53.38745455,5656.27838,10207.96,0.9,0.36
short,98_101,WW,2000_2010,1.2423483,0.4865956,-0.3841596,-0.0527471,39.400666,54.55318182,5700.807525,9876.16,1.45,0.5
short,90_157,WW,2000_2010,0.880278,0.3895198,-0.4980801,-0.0516855,36.410856,49.64345455,3706.104276,8991.07,1,0.4
short,87_136,WW,2000_2010,1.1533182,0.7560256,-0.8393827,-0.0558816,64.586645,39.19790909,4189.387695,8513.98,1.65,0.78
short,49_131,WW,2000_2010,0.8871675,0.3953201,0.0246119,-0.0567693,45.348804,52.46927273,7801.252704,7671.63,0.79,0.41
short,149_103,WW,2000_2010,1.6879974,0.3808209,-0.7624026,-0.0498436,40.672089,62.25836364,5181.976009,10523.07,2.18,0.39
short,78_118,WW,2000_2010,0.7880025,0.4161794,-0.3814093,-0.0564162,49.334099,51.55263636,4615.343122,8896.43,0.86,0.43
short,95_136,WW,2000_2010,0.8640969,0.3591833,-0.4163679,-0.0547212,40.774839,53.01509091,4572.658832,8999.44,1,0.37
short,77_167,WW,2000_2010,1.3617181,0.7559864,-0.5309301,-0.0564014,66.621863,17.56436364,6242.623977,10859.96,1.65,0.78
short,72_54,WW,2000_2010,1.0428635,0.6195245,-1.0249965,-0.0544179,41.602969,68.36409091,3801.024187,8904.37,1.61,0.64
short,88_149,WW,2000_2010,0.8011284,0.3685955,-0.1748236,-0.0557529,44.199839,37.86263636,5027.263804,9301.67,0.83,0.38
