Location,OC_topsoil,Sand_topsoil,Clay_topsoil,Silt_topsoil
77_86,6.74,60,30,10
76_87,6.74,60,30,10
77_87,6.74,60,30,10
78_87,6.74,60,30,10
79_87,6.74,60,30,10
75_90,6.74,60,30,10
76_90,6.74,60,30,10
44_162,6.74,60,30,10
124_64,5.27,40,20,40
134_74,5.27,60,30,10
133_75,5.27,60,30,10
136_76,5.27,60,30,10
135_77,5.27,60,30,10
141_114,5.27,60,30,10
154_114,5.27,60,30,10
157_114,5.27,60,30,10
131_115,5.27,60,30,10
132_115,5.27,60,30,10
138_115,5.27,60,30,10
150_115,5.27,60,30,10
152_115,5.27,60,30,10
153_115,5.27,60,30,10
155_115,5.27,60,30,10
157_115,5.27,60,30,10
158_115,5.27,60,30,10
159_115,5.27,60,30,10
131_116,5.27,60,30,10
132_116,5.27,60,30,10
142_116,5.27,60,30,10
147_116,5.27,60,30,10
148_116,5.27,60,30,10
152_116,5.27,60,30,10
153_116,5.27,60,30,10
154_116,5.27,60,30,10
156_116,5.27,60,30,10
157_116,5.27,60,30,10
158_116,5.27,60,30,10
159_116,5.27,60,30,10
128_117,5.27,60,30,10
147_117,5.27,60,30,10
148_117,5.27,60,30,10
151_117,5.27,60,30,10
152_117,5.27,60,30,10
153_117,5.27,60,30,10
154_117,5.27,60,30,10
156_117,5.27,60,30,10
158_117,5.27,60,30,10
159_117,5.27,60,30,10
160_117,5.27,60,30,10
163_117,5.27,60,30,10
164_117,5.27,60,30,10
126_118,5.27,60,30,10
127_118,5.27,60,30,10
130_118,5.27,60,30,10
137_118,5.27,60,30,10
147_118,5.27,60,30,10
148_118,5.27,60,30,10
150_118,5.27,60,30,10
151_118,5.27,60,30,10
152_118,5.27,60,30,10
159_118,5.27,60,30,10
162_118,5.27,60,30,10
163_118,5.27,60,30,10
167_118,5.27,60,30,10
168_118,5.27,60,30,10
130_119,5.27,60,30,10
131_119,5.27,60,30,10
138_119,5.27,60,30,10
144_119,5.27,60,30,10
147_119,5.27,60,30,10
150_119,5.27,60,30,10
151_119,5.27,60,30,10
153_119,5.27,60,30,10
154_119,5.27,60,30,10
158_119,5.27,60,30,10
159_119,5.27,60,30,10
160_119,5.27,60,30,10
162_119,5.27,60,30,10
163_119,5.27,60,30,10
165_119,5.27,60,30,10
168_119,5.27,60,30,10
129_120,5.27,60,30,10
130_120,5.27,60,30,10
131_120,5.27,60,30,10
144_120,5.27,60,30,10
145_120,5.27,60,30,10
146_120,5.27,60,30,10
147_120,5.27,60,30,10
151_120,5.27,60,30,10
152_120,5.27,60,30,10
153_120,5.27,60,30,10
154_120,5.27,60,30,10
156_120,5.27,60,30,10
157_120,5.27,60,30,10
158_120,5.27,60,30,10
160_120,5.27,60,30,10
162_120,5.27,60,30,10
163_120,5.27,60,30,10
164_120,5.27,60,30,10
165_120,5.27,60,30,10
129_121,5.27,60,30,10
130_121,5.27,60,30,10
142_121,5.27,60,30,10
146_121,5.27,60,30,10
147_121,5.27,60,30,10
149_121,5.27,60,30,10
150_121,5.27,60,30,10
151_121,5.27,60,30,10
152_121,5.27,60,30,10
153_121,5.27,60,30,10
154_121,5.27,60,30,10
155_121,5.27,60,30,10
157_121,5.27,60,30,10
158_121,5.27,60,30,10
159_121,5.27,60,30,10
161_121,5.27,60,30,10
162_121,5.27,60,30,10
163_121,5.27,60,30,10
164_121,5.27,60,30,10
166_121,5.27,60,30,10
167_121,5.27,60,30,10
168_121,5.27,60,30,10
147_122,5.27,60,30,10
156_122,5.27,60,30,10
158_122,5.27,60,30,10
160_122,5.27,60,30,10
161_122,5.27,60,30,10
162_122,5.27,60,30,10
163_122,5.27,60,30,10
164_122,5.27,60,30,10
166_122,5.27,60,30,10
167_122,5.27,60,30,10
168_122,5.27,60,30,10
128_123,5.27,60,30,10
129_123,5.27,60,30,10
145_123,5.27,60,30,10
146_123,5.27,60,30,10
147_123,5.27,60,30,10
152_123,5.27,60,30,10
154_123,5.27,60,30,10
155_123,5.27,60,30,10
156_123,5.27,60,30,10
158_123,5.27,60,30,10
162_123,5.27,60,30,10
163_123,5.27,60,30,10
164_123,5.27,60,30,10
167_123,5.27,60,30,10
168_123,5.27,60,30,10
173_123,5.27,60,30,10
147_124,5.27,60,30,10
152_124,5.27,60,30,10
154_124,5.27,60,30,10
155_124,5.27,60,30,10
156_124,5.27,60,30,10
158_124,5.27,60,30,10
159_124,5.27,60,30,10
160_124,5.27,60,30,10
161_124,5.27,60,30,10
162_124,5.27,60,30,10
165_124,5.27,60,30,10
166_124,5.27,60,30,10
167_124,5.27,60,30,10
168_124,5.27,60,30,10
146_125,5.27,60,30,10
147_125,5.27,60,30,10
149_125,5.27,60,30,10
156_125,5.27,60,30,10
157_125,5.27,60,30,10
159_125,5.27,60,30,10
160_125,5.27,60,30,10
161_125,5.27,60,30,10
162_125,5.27,60,30,10
163_125,5.27,60,30,10
159_126,5.27,60,30,10
160_126,5.27,60,30,10
161_126,5.27,60,30,10
162_126,5.27,60,30,10
163_126,5.27,60,30,10
165_126,5.27,60,30,10
166_126,5.27,60,30,10
167_126,5.27,60,30,10
168_126,5.27,60,30,10
157_127,5.27,60,30,10
159_127,5.27,60,30,10
160_127,5.27,60,30,10
161_127,5.27,60,30,10
162_127,5.27,60,30,10
163_127,5.27,60,30,10
164_127,5.27,60,30,10
165_127,5.27,60,30,10
166_127,5.27,60,30,10
167_127,5.27,60,30,10
169_127,5.27,60,30,10
157_128,5.27,60,30,10
163_128,5.27,60,30,10
164_128,5.27,60,30,10
166_128,5.27,60,30,10
167_128,5.27,60,30,10
167_129,5.27,60,30,10
170_129,5.27,60,30,10
171_129,5.27,60,30,10
175_129,5.27,60,30,10
176_129,5.27,60,30,10
177_129,5.27,60,30,10
141_130,5.27,60,30,10
143_130,5.27,60,30,10
167_130,5.27,60,30,10
168_130,5.27,60,30,10
169_130,5.27,60,30,10
173_130,5.27,60,30,10
160_131,5.27,60,30,10
166_131,5.27,60,30,10
175_131,5.27,60,30,10
176_131,5.27,60,30,10
172_132,5.27,60,30,10
172_133,5.27,60,30,10
175_133,5.27,60,30,10
69_54,4.6,60,30,10
113_54,4.6,40,20,40
114_54,4.6,60,30,10
111_55,4.6,60,30,10
112_55,4.6,60,30,10
113_55,4.6,60,30,10
114_55,4.6,60,30,10
112_56,4.6,60,30,10
113_56,4.6,60,30,10
75_57,4.6,60,30,10
112_57,4.6,60,30,10
113_57,4.6,60,30,10
121_57,4.6,40,20,40
113_58,4.6,60,30,10
121_58,4.6,60,30,10
115_61,4.6,60,30,10
125_62,4.6,60,30,10
125_64,4.6,60,30,10
126_65,4.6,60,30,10
116_66,4.6,60,30,10
126_66,4.6,60,30,10
130_75,4.6,60,30,10
134_75,4.6,60,30,10
135_75,4.6,60,30,10
135_76,4.6,60,30,10
133_77,4.6,60,30,10
136_77,4.6,60,30,10
120_78,4.6,60,30,10
133_78,4.6,60,30,10
122_59,4.59,60,30,10
123_62,4.59,60,30,10
122_63,4.59,60,30,10
124_63,4.59,60,30,10
114_71,4.59,60,30,10
119_77,4.59,60,30,10
121_78,4.59,60,30,10
111_104,4.59,65,10,25
151_113,4.59,40,20,40
150_114,4.59,60,30,10
122_64,4.54,60,30,10
127_69,4.54,40,20,40
125_70,4.54,35,35,30
126_70,4.54,35,35,30
139_70,4.54,40,20,40
130_71,4.54,35,35,30
135_71,4.54,35,35,30
132_72,4.54,40,20,40
124_73,4.54,35,35,30
131_73,4.54,35,35,30
134_73,4.54,35,35,30
135_73,4.54,35,35,30
131_75,4.54,60,30,10
136_75,4.54,35,35,30
138_76,4.54,35,35,30
137_77,4.54,35,35,30
76_89,3.43,60,30,10
54_104,3.43,60,30,10
77_85,3.15,60,30,10
74_90,3.15,60,30,10
75_98,3.15,60,30,10
75_99,3.15,60,30,10
77_99,3.15,60,30,10
77_100,3.15,60,30,10
80_149,3.15,60,30,10
81_153,3.15,60,30,10
91_154,3.15,60,30,10
108_133,3.12,40,20,40
113_140,3.12,65,10,25
157_117,2.95,60,30,10
153_118,2.95,60,30,10
154_118,2.95,60,30,10
156_119,2.95,60,30,10
157_119,2.95,60,30,10
155_120,2.95,60,30,10
167_120,2.95,60,30,10
165_121,2.95,60,30,10
169_123,2.95,60,30,10
166_125,2.95,60,30,10
162_128,2.95,60,30,10
169_128,2.95,60,30,10
172_128,2.95,60,30,10
162_129,2.95,60,30,10
163_129,2.95,60,30,10
164_129,2.95,60,30,10
166_129,2.95,60,30,10
168_129,2.95,60,30,10
169_129,2.95,60,30,10
163_130,2.95,60,30,10
164_130,2.95,60,30,10
170_130,2.95,60,30,10
175_130,2.95,60,30,10
174_131,2.95,60,30,10
86_131,2.94,35,35,30
87_131,2.94,35,35,30
88_139,2.94,35,35,30
87_141,2.94,35,35,30
92_144,2.94,35,35,30
65_47,2.72,60,30,10
66_47,2.72,60,30,10
67_47,2.72,60,30,10
68_47,2.72,60,30,10
69_47,2.72,60,30,10
72_47,2.72,60,30,10
74_47,2.72,60,30,10
75_47,2.72,60,30,10
62_48,2.72,60,30,10
63_48,2.72,60,30,10
64_48,2.72,60,30,10
65_48,2.72,60,30,10
66_48,2.72,60,30,10
67_48,2.72,60,30,10
68_48,2.72,60,30,10
69_48,2.72,60,30,10
70_48,2.72,60,30,10
71_48,2.72,60,30,10
72_48,2.72,60,30,10
73_48,2.72,60,30,10
74_48,2.72,60,30,10
75_48,2.72,60,30,10
61_49,2.72,60,30,10
64_49,2.72,60,30,10
65_49,2.72,60,30,10
66_49,2.72,60,30,10
67_49,2.72,60,30,10
68_49,2.72,60,30,10
69_49,2.72,60,30,10
70_49,2.72,60,30,10
71_49,2.72,60,30,10
72_49,2.72,60,30,10
73_49,2.72,60,30,10
74_49,2.72,60,30,10
75_49,2.72,60,30,10
64_50,2.72,60,30,10
65_50,2.72,60,30,10
66_50,2.72,60,30,10
67_50,2.72,60,30,10
68_50,2.72,60,30,10
70_50,2.72,60,30,10
71_50,2.72,60,30,10
72_50,2.72,60,30,10
73_50,2.72,60,30,10
74_50,2.72,60,30,10
75_50,2.72,60,30,10
64_51,2.72,60,30,10
66_51,2.72,60,30,10
67_51,2.72,60,30,10
68_51,2.72,60,30,10
